userId,age,gender,occupation,zip
1,24,M,technician,85711
3,23,M,writer,32067
5,33,F,other,15213
7,57,M,administrator,91344
9,29,M,student,01002
11,39,F,other,30329
13,47,M,educator,29206
15,49,F,educator,97301
17,30,M,programmer,06355
19,40,M,librarian,02138
21,26,M,writer,30068
23,30,F,artist,48197
25,39,M,engineer,55107
27,40,F,librarian,30030
29,41,M,programmer,94043
31,24,M,artist,10003
33,23,M,student,27510
35,20,F,homemaker,42459
37,23,M,student,55105
39,41,M,entertainment,01040
41,33,M,engineer,80525
43,29,F,librarian,20854
45,29,M,programmer,50233
47,53,M,marketing,07102
49,23,F,student,76111
51,28,M,educator,16509
53,26,M,programmer,55414
55,37,M,programmer,01331
57,16,M,none,84010
59,49,M,educator,08403
61,36,M,engineer,30040
63,31,M,marketing,75240
65,51,F,educator,48118
67,17,M,student,60402
69,24,M,engineer,55337
71,39,M,scientist,98034
73,24,M,student,41850
75,24,M,entertainment,08816
77,30,M,technician,29379
79,39,F,administrator,03755
81,21,M,student,21218
83,40,M,other,44133
85,51,M,educator,20003
87,47,M,administrator,89503
89,43,F,administrator,68106
91,55,M,marketing,01913
93,48,M,executive,23112
95,31,M,administrator,10707
97,43,M,artist,98006
99,20,M,student,63129
101,15,M,student,05146
103,26,M,student,55108
105,24,M,engineer,94043
107,39,M,scientist,60466
109,29,M,other,55423
111,57,M,engineer,90630
113,47,M,executive,95032
115,31,M,engineer,17110
117,20,M,student,16125
119,32,M,programmer,67401
121,54,M,librarian,99603
123,48,F,artist,20008
125,30,M,lawyer,22202
127,33,M,none,73439
129,36,F,marketing,07039
131,59,F,administrator,15237
133,53,M,engineer,78602
135,23,M,student,38401
137,50,M,educator,84408
139,20,M,student,08904
141,49,M,programmer,36117
143,42,M,technician,08832
145,31,M,entertainment,V3N4P
147,40,F,librarian,02143
149,35,F,marketing,17325
151,38,F,administrator,48103
153,25,M,student,60641
155,32,F,other,11217
157,57,M,engineer,70808
159,23,F,student,55346
161,50,M,lawyer,55104
163,49,M,administrator,97212
165,20,F,other,53715
167,37,M,other,L9G2B
169,52,F,other,53705
171,48,F,educator,78750
173,56,M,other,22306
175,26,F,scientist,21911
177,20,M,programmer,19104
179,15,M,entertainment,20755
181,26,M,executive,21218
183,33,M,scientist,27708
185,53,F,librarian,97403
187,26,M,educator,16801
189,32,M,artist,95014
191,33,M,administrator,95161
193,29,M,student,49931
195,42,M,scientist,93555
197,55,M,technician,75094
199,30,M,writer,17604
201,27,M,writer,E2A4H
203,25,F,student,32301
205,47,M,lawyer,06371
207,39,M,marketing,92037
209,33,F,educator,85710
211,66,M,salesman,32605
213,33,M,executive,55345
215,35,M,programmer,63033
217,22,M,other,11727
219,32,M,programmer,43212
221,19,M,student,20685
223,19,F,student,47906
225,51,F,administrator,58202
227,46,M,executive,60659
229,29,F,librarian,22903
231,48,M,librarian,01080
233,38,M,engineer,98682
235,37,M,educator,22973
237,49,M,administrator,63146
239,39,M,artist,95628
241,26,F,student,20001
243,33,M,educator,60201
245,22,M,student,55109
247,28,M,engineer,20770
249,25,M,student,84103
251,28,M,doctor,85032
253,26,F,librarian,22903
255,23,M,entertainment,07029
257,17,M,student,77005
259,21,M,student,48823
261,28,M,administrator,85202
263,41,M,programmer,55346
265,26,M,executive,84601
267,23,M,engineer,83716
269,31,F,librarian,43201
271,51,M,engineer,22932
273,50,F,other,10016
275,38,M,engineer,92064
277,35,F,administrator,55406
279,33,M,programmer,85251
281,15,F,student,06059
283,28,M,programmer,55305
285,25,M,programmer,53713
287,21,M,salesman,31211
289,11,M,none,94619
291,19,M,student,44106
293,24,M,writer,60804
295,31,M,educator,50325
297,29,F,educator,98103
299,29,M,doctor,63108
301,24,M,student,55439
303,19,M,student,14853
305,23,M,programmer,94086
307,25,M,student,55454
309,40,M,scientist,70802
311,32,M,technician,73071
313,41,M,marketing,60035
315,31,M,educator,18301
317,22,M,administrator,13210
319,38,M,programmer,22030
321,49,F,educator,55413
323,21,M,student,19149
325,48,M,technician,02139
327,22,M,student,11101
329,48,M,educator,01720
331,33,M,entertainment,91344
333,47,M,other,V0R2M
335,45,M,executive,33775
337,37,M,scientist,10522
339,35,M,lawyer,37901
341,17,F,student,44405
343,43,M,engineer,30093
345,28,F,librarian,94143
347,18,M,student,90210
349,68,M,retired,61455
351,61,M,educator,49938
353,25,M,scientist,28480
355,25,M,student,60135
357,26,M,executive,98133
359,22,M,student,61801
361,22,M,student,44074
363,20,M,student,87501
365,29,M,lawyer,20009
367,17,M,student,37411
369,24,M,student,91335
371,36,M,engineer,99206
373,24,F,other,55116
375,17,M,entertainment,37777
377,22,M,student,18015
379,44,M,programmer,98117
381,33,M,artist,94608
383,42,M,administrator,75204
385,36,M,writer,10003
387,33,M,entertainment,37412
389,44,F,writer,83702
391,23,M,student,84604
393,19,M,student,83686
395,43,M,other,44092
397,17,M,student,27514
399,25,M,other,92374
401,46,F,healthcare,84107
403,37,M,other,06811
405,22,F,healthcare,10019
407,29,M,engineer,03261
409,48,M,administrator,98225
411,34,M,educator,44691
413,55,M,educator,78212
415,39,M,educator,85711
417,27,F,other,48103
419,37,M,lawyer,43215
421,38,F,programmer,55105
423,64,M,other,91606
425,19,M,student,58644
427,51,M,doctor,85258
429,27,M,student,29205
431,24,M,marketing,92629
433,27,M,artist,11211
435,24,M,engineer,60007
437,27,F,other,20009
439,23,F,administrator,20817
441,50,M,technician,55013
443,35,M,salesman,33308
445,21,M,writer,92653
447,30,M,administrator,55113
449,23,M,librarian,55021
451,16,M,student,48446
453,18,M,student,06333
455,48,M,administrator,83709
457,33,F,salesman,30011
459,22,M,student,29201
461,15,M,student,98102
463,48,F,healthcare,75218
465,32,M,other,05001
467,29,M,engineer,91201
469,60,M,educator,78628
471,10,M,student,77459
473,29,M,student,94708
475,30,M,programmer,75230
477,23,F,student,02125
479,30,M,educator,55409
481,73,M,retired,37771
483,29,M,scientist,43212
485,44,F,educator,95821
487,22,M,engineer,92121
489,55,M,other,45218
491,43,F,writer,53711
493,22,M,engineer,60090
495,29,M,engineer,03052
497,20,M,student,50112
499,42,M,programmer,75006
501,22,M,student,10025
503,50,F,writer,27514
505,27,F,other,20657
507,18,F,writer,28450
509,23,M,administrator,10011
511,22,M,student,21250
513,43,M,administrator,26241
515,53,M,marketing,49508
517,24,M,student,55454
519,22,M,other,55320
521,19,M,student,02146
523,50,F,administrator,04102
525,27,F,administrator,19711
527,33,M,librarian,12180
529,47,F,administrator,44224
531,30,F,salesman,97408
533,43,M,librarian,02324
535,45,F,educator,80302
537,36,M,engineer,22902
539,53,F,administrator,80303
541,19,F,student,84302
543,33,M,scientist,95123
545,27,M,technician,08052
547,50,M,educator,14534
549,42,M,scientist,45680
551,25,M,programmer,55414
553,58,M,educator,62901
555,29,F,educator,23227
557,30,F,writer,11217
559,69,M,executive,10022
561,23,M,engineer,60005
563,39,F,librarian,32707
565,40,M,student,55422
567,24,M,entertainment,10003
569,34,M,educator,91903
571,34,M,artist,01945
573,68,M,retired,48911
575,33,M,marketing,46032
577,36,F,student,77845
579,32,M,educator,48103
581,37,M,other,94131
583,44,M,engineer,29631
585,69,M,librarian,98501
587,26,M,other,14216
589,21,M,lawyer,90034
591,57,F,librarian,92093
593,31,F,educator,68767
595,25,M,programmer,31909
597,23,M,other,84116
599,22,F,student,R3T5K
601,19,F,artist,99687
603,21,M,programmer,47905
605,33,M,engineer,33716
607,49,F,healthcare,02154
609,13,F,student,55106
611,46,M,librarian,77008
613,37,F,marketing,29678
615,38,M,educator,27705
617,27,F,writer,11201
619,17,M,student,44134
621,17,M,student,60402
623,50,F,educator,60187
625,27,M,programmer,20723
627,24,M,engineer,08034
629,46,F,other,44224
631,18,F,student,38866
633,35,M,programmer,55414
635,22,M,other,23237
637,30,M,other,74101
639,42,F,librarian,12065
641,24,M,student,60626
643,39,M,scientist,55122
645,27,M,programmer,53211
647,40,M,educator,45810
649,20,M,student,39762
651,65,M,retired,02903
653,31,M,executive,55105
655,50,F,healthcare,60657
657,26,F,none,78704
659,31,M,educator,54248
661,28,M,programmer,98121
663,26,M,other,19341
665,25,M,administrator,55412
